,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto,BUSCA
50,00.130.132/0001-38,de 100.000.000 até 300.000.000,de 100 até 500,0,-,00130132000138
51,02.246.972/0001-96,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Minamel Agroindústria Ltda
52,80.666.324/0001-00,de 30.000.000 até 100.000.000,de 100 até 500,47,"31.164.089,33",MULTICOLOR TEXTIL LTDA
53,20.214.928/0001-86,de 81.000 até 360.000,de 5 até 10,-,,ICON ESTAMPOS E MOLDES SA
54,84.043.009/0001-70,de 100.000.000 até 300.000.000,de 100 até 500,0,-,Circulo SA
55,85.203.602/0001-07,de 10.000.000 até 30.000.000,de 100 até 500,369,"2.215.300,47",85203602000107
56,82.640.558/0001-04,de 300.000.000 até 500.000.000,de 100 até 500,2,"16.652,00",KARSTEN SA
57,86.530.318/0001-08,de 100.000.000 até 300.000.000,de 100 até 500,69,"383.878,14",86530318000108
58,84.429.869/0003-08,de 4.800.000 até 10.000.000,de 100 até 500,33,"29.670.181,78",Bebidas Max Wilhelm Ltda
59,26.588.741/0001-29,de 1.500.000 até 4.800.000,de 10 até 50,0,-,TOP TEXTIL CRIACOES LTDA
60,07.503.882/0001-57,de 0 até 81.000,de 0 até 5,-,,NEO BRASIL
61,82.639.477/0001-86,de 30.000.000 até 100.000.000,de 100 até 500,0,-,SCHWANKE INDUSTRIAL LTDA
62,07.259.306/0001-06,de 30.000.000 até 100.000.000,de 50 até 100,0,-,COMERCIAL TÊXTIL SUL BRASIL LTDA
63,03.750.888/0001-78,de 30.000.000 até 100.000.000,de 100 até 500,393,"5.530.221,96",03750888000178
64,02.936.443/0001-14,de 4.800.000 até 10.000.000,de 50 até 100,0,-,02936443000114
65,85.098.929/0001-58,de 100.000.000 até 300.000.000,de 100 até 500,0,-,LUNELLI TEXTIL
66,09.035.359/0001-79,de 1.500.000 até 4.800.000,de 10 até 50,13,"66.733,82",09035359000179
67,81.864.563/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,11,"2.958.335,36",81864563000120
68,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,KOHMAR IND COM DE CONFECCOES LTDA ME
69,15.821.960/0001-90,de 0 até 81.000,de 0 até 5,-,,TEIXEIRA TEXTIL INDUSTRIA E COM DE SACAR
70,02.064.150/0001-94,,,,,TAF IND DE PLASTICOS LTDA
71,00.584.204/0001-17,,,,,JUMANIY INDUSTRIA DE CONFECCOES EPP LTDA
72,07.484.971/0001-01,de 81.000 até 360.000,de 0 até 5,-,,SUDATI
73,08.158.720/0001-91,,,,,Transportadora Peregrina
74,68.831.353/0001-77,de 0 até 81.000,de 0 até 5,-,,PLASVALE IND DE PLASTICOS DO VALE LTDA
75,00.056.685/0001-98,de 1.500.000 até 4.800.000,de 100 até 500,4,"1.918.035,25",Distribuidora de Alimentos  Sardagna
76,83.602.896/0001-06,de 30.000.000 até 100.000.000,acima de 500,0,-,TECELAGEM ATLANTICA
77,02.811.281/0001-98,de 0 até 81.000,de 10 até 50,0,-,02811281000198
78,06.955.944/0001-07,de 81.000 até 360.000,de 0 até 5,-,,SUZANA SANTOS
79,80.084.809/0001-88,de 30.000.000 até 100.000.000,de 100 até 500,586,"4.575.163,29",COLORMINAS COLORIFICIO E MINERAÇÃO
80,05.024.168/0001-50,de 81.000 até 360.000,de 10 até 50,-,,MAESTRO DO BRASIL
81,01.763.720/0001-71,de 300.000.000 até 500.000.000,de 100 até 500,0,-,VENTISOL
82,04.313.814/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,270,"2.855.462,80",04313814000137
83,48.461.651/0001-05,de 0 até 81.000,de 10 até 50,-,,PIERINI
84,07.985.980/0001-78,de 81.000 até 360.000,de 10 até 50,0,-,07985980000178
85,91.466.755/0001-31,de 81.000 até 360.000,de 5 até 10,0,-,OMEGA COM DE CORANTES LTDA
86,62.750.070/0001-14,de 0 até 81.000,de 0 até 5,-,,COPOBRAS SA IND E COM DE EMBALAGENS
87,04.845.059/0001-31,de 30.000.000 até 100.000.000,de 100 até 500,0,-,04845059000131
88,03.364.555/0001-00,de 100.000.000 até 300.000.000,de 100 até 500,0,-,Negócio CPACK CREATIVE PACKAGING SA
89,01.490.997/0001-78,de 360.000 até 1.500.000,de 10 até 50,0,-,01490997000178
90,01.586.212/0001-65,de 30.000.000 até 100.000.000,de 100 até 500,0,-,01586212000165
91,85.147.627/0001-22,de 1.500.000 até 4.800.000,de 50 até 100,0,-,85147627000122
92,83.942.235/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,25,"2.593.569,51",COQUE SUL BRASILEIRO INDUSTRIA E COMERCIO LTDA
93,08.266.046/0001-69,de 10.000.000 até 30.000.000,de 100 até 500,0,-,08266046000169
94,06.101.244/0001-47,de 30.000.000 até 100.000.000,de 100 até 500,0,-,06101244000147
95,87.019.089/0001-16,de 0 até 81.000,de 0 até 5,-,,PILLAR INDUSTRIA E COMDE CALC
96,74.020.041/0001-86,de 10.000.000 até 30.000.000,de 50 até 100,448,"1.129.173,04",74020041000186
97,80.481.146/0001-35,de 10.000.000 até 30.000.000,de 100 até 500,0,-,80481146000135
98,79.683.330/0001-89,de 10.000.000 até 30.000.000,de 100 até 500,92,"9.372.923,76",79683330000189
99,81.610.081/0001-43,de 0 até 81.000,de 10 até 50,-,,HUG EIRELI
100,10.800.802/0001-30,de 1.500.000 até 4.800.000,de 50 até 100,0,-,10800802000130
101,13.408.823/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-,13408823000100
102,07.686.777/0001-09,de 0 até 81.000,de 10 até 50,-,,CARLOTA COSTA  RITMI
103,03.827.245/0001-85,de 1.500.000 até 4.800.000,de 10 até 50,0,-,CALCADOS ITALIANINHO LTDA
104,10.779.632/0001-59,de 10.000.000 até 30.000.000,de 100 até 500,0,-,10779632000159
105,26.010.331/0001-04,de 81.000 até 360.000,de 0 até 5,-,,KONDER MOTOS DO BRASIL LTDA
106,02.752.852/0001-60,de 0 até 81.000,de 0 até 5,-,,FARBEN SA
107,00.588.446/0001-89,de 1.500.000 até 4.800.000,de 10 até 50,0,-,00588446000189
108,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,GIASSI IND E COM DE CONFECCOES LTDA
109,00.577.158/0001-29,de 30.000.000 até 100.000.000,de 100 até 500,0,-,CONFECCOES ONEDA LTDACEA
110,24.207.847/0001-00,de 0 até 81.000,de 0 até 5,-,,IND E COM DE SABÃO ZAVASKI LTDA
111,01.079.981/0001-77,de 81.000 até 360.000,de 10 até 50,5,"7.776.583,00",INDUSTRIAL DE EMBALAGENS URUSSANGA LTDA ME
112,09.134.437/0001-92,de 30.000.000 até 100.000.000,de 100 até 500,0,-,09134437000192
113,95.852.547/0001-21,de 30.000.000 até 100.000.000,de 100 até 500,1,"5.044,46",INMES INDUSTRIAL LTDA
114,04.878.125/0001-70,de 360.000 até 1.500.000,de 10 até 50,-,,LIPLAST IND E COM DE PLÁSTICOS LTDA
115,31.574.057/0001-28,de 81.000 até 360.000,de 5 até 10,-,,METAL LIGHT IND METALICA EIRELLI EPP
116,00.993.068/0001-19,de 1.500.000 até 4.800.000,de 10 até 50,0,-,00993068000119
117,13.370.186/0001-12,de 0 até 81.000,de 0 até 5,-,,METALURGICA DS LTDA
118,30.166.888/0001-06,de 0 até 81.000,de 0 até 5,-,,MINAPLAST MAQ INDS ARTEF PLAST
119,97.331.250/0001-46,de 4.800.000 até 10.000.000,de 100 até 500,1,"48.307,05",NUTRICOL ALIMENTOS LTDA
120,01.820.799/0001-25,de 1.500.000 até 4.800.000,de 10 até 50,20,"4.224.466,12",ROSA DE SAROM IND E COM DE ALIMENTOS
121,11.073.955/0001-95,,,,,VOLT DO BRASIL LTDA  ME
122,86.378.189/0001-76,de 30.000.000 até 100.000.000,de 100 até 500,0,-,PORCELANAS INDUSTRIAIS GERMER
123,05.745.387/0001-29,de 10.000.000 até 30.000.000,de 100 até 500,0,-,05745387000129
124,05.036.544/0001-27,de 1.500.000 até 4.800.000,de 10 até 50,88,"3.193.335,65",05036544000127
125,01.408.635/0001-95,de 1.500.000 até 4.800.000,de 10 até 50,0,-,01408635000195
126,05.941.190/0001-65,de 0 até 81.000,de 0 até 5,-,,SOL NASCENTE COMERCIO IMP E EXPORTACAO LTDA
127,04.580.018/0001-60,de 81.000 até 360.000,de 10 até 50,26,"2.569.306,43",04580018000160
128,83.057.968/0001-81,de 4.800.000 até 10.000.000,de 100 até 500,0,-,83057968000181
129,82.096.124/0001-87,de 10.000.000 até 30.000.000,de 50 até 100,5,"228.042,66",HERPLAST INDL PLASTISCOS LTDA
130,63.755.375/0001-81,de 0 até 81.000,de 0 até 5,-,,CURTUME VIPOSA SA IND E COM
131,76.380.914/0001-97,de 4.800.000 até 10.000.000,de 100 até 500,0,-,INDESTEL IND EMBALAGENS OESTE LTDA
132,83.201.111/0001-93,de 100.000.000 até 300.000.000,de 100 até 500,0,-,MC JU
133,39.421.300/0001-80,de 0 até 81.000,de 0 até 5,-,,Rolu confecções
134,06.935.509/0001-02,de 1.500.000 até 4.800.000,de 10 até 50,0,-,06935509000102
135,79.694.303/0001-01,de 360.000 até 1.500.000,de 0 até 5,-,,UNIMED FLORIANÓPOLIS
136,09.132.645/0001-52,de 360.000 até 1.500.000,de 10 até 50,-,,HOLEPAPER PAPEIS E EMBALAGENS LTDA
137,05.346.462/0001-89,de 30.000.000 até 100.000.000,de 100 até 500,0,-,05346462000189
138,00.715.583/0001-37,de 10.000.000 até 30.000.000,de 100 até 500,36,"4.612.366,65",00715583000137
139,82.757.907/0001-64,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Águas Negras SA Indústria de Papel negócio
140,02.396.670/0001-02,de 1.500.000 até 4.800.000,de 100 até 500,164,"366.093,54",02396670000102
141,03.702.064/0001-22,de 81.000 até 360.000,de 0 até 5,-,,Baumgarten Gráfica Ltda negócio
142,01.442.702/0001-98,de 30.000.000 até 100.000.000,de 100 até 500,0,-,01442702000198
143,04.544.783/0001-25,de 10.000.000 até 30.000.000,de 50 até 100,45,"1.670.740,69",04544783000125
144,81.317.208/0001-30,de 10.000.000 até 30.000.000,de 100 até 500,167,"12.428.825,63",Blutrafos Blumenau Transformadores Ltda negócio
145,75.304.766/0001-69,de 30.000.000 até 100.000.000,de 100 até 500,0,-,75304766000169
146,75.290.619/0001-87,de 81.000 até 360.000,de 50 até 100,0,-,75290619000187
147,82.638.685/0001-60,,,,,Ártico Indústria de Refrigeração Ltda negócio
148,82.640.558/0001-04,de 300.000.000 até 500.000.000,de 100 até 500,2,"16.652,00",82640558000104
149,82.641.325/0001-18,de 500.000.000 até 1.000.000.000,de 100 até 500,24,"35.570,64",82641325000118
150,82.901.000/0001-27,acima de 1.000.000.000,de 100 até 500,0,-,82901000000127
151,73.379.356/0001-51,de 1.500.000 até 4.800.000,de 10 até 50,29,"224.556,79",73379356000151
152,01.442.702/0001-98,de 30.000.000 até 100.000.000,de 100 até 500,0,-,01442702000198
153,03.308.030/0001-58,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Abim Máquinas e Equipamentos Ltda negócio
154,41.477.142/0001-21,de 0 até 81.000,de 10 até 50,-,,FACINEPE negócio
155,80.742.109/0001-33,de 1.500.000 até 4.800.000,de 10 até 50,0,-,80742109000133
156,05.783.903/0001-00,de 30.000.000 até 100.000.000,acima de 500,32,"179.406,70",05783903000100
157,83.109.579/0001-52,de 10.000.000 até 30.000.000,de 100 até 500,21,"28.991.636,43",83109579000152
158,72.170.392/0001-48,de 4.800.000 até 10.000.000,de 100 até 500,0,-,Cajadan Têxtil Ltda negócio
159,85.150.613/0001-68,de 100.000.000 até 300.000.000,de 100 até 500,1,"163,47",85150613000168
160,05.082.188/0001-88,de 100.000.000 até 300.000.000,de 100 até 500,0,-,05082188000188
161,83.875.120/0001-60,de 10.000.000 até 30.000.000,de 50 até 100,169,"18.251.777,21",83875120000160
162,80.448.574/0001-66,de 10.000.000 até 30.000.000,de 50 até 100,81,"824.449,23",80448574000166
163,78.855.186/0001-58,de 4.800.000 até 10.000.000,de 50 até 100,0,-,78855186000158
164,78.644.424/0001-86,de 30.000.000 até 100.000.000,acima de 500,2,"231.145,34",78644424000186
165,05.908.583/0001-77,de 10.000.000 até 30.000.000,de 50 até 100,167,"731.993,43",05908583000177
166,83.055.632/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,12,"706.449,24",83055632000180
167,05.140.658/0001-12,de 81.000 até 360.000,de 10 até 50,27,"410.433,15",05140658000112
168,03.768.748/0001-27,de 10.000.000 até 30.000.000,de 50 até 100,151,"7.297.580,56",03768748000127
169,06.079.036/0001-99,de 10.000.000 até 30.000.000,de 100 até 500,0,-,06079036000199
170,08.934.728/0001-00,de 1.500.000 até 4.800.000,de 100 até 500,52,"7.256.243,42",08934728000100
171,07.097.396/0001-86,de 1.500.000 até 4.800.000,de 10 até 50,0,-,07097396000186
172,86.046.562/0001-91,de 30.000.000 até 100.000.000,de 100 até 500,0,-,86046562000191
173,04.683.673/0001-44,de 1.500.000 até 4.800.000,de 10 até 50,0,-,04683673000144
174,10.619.295/0001-32,de 81.000 até 360.000,de 5 até 10,11,"503.307,69",10619295000132
175,86.046.612/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,32,"84.167,82",86046612000130
176,06.001.539/0001-41,de 10.000.000 até 30.000.000,de 100 até 500,0,-,06001539000141
177,81.872.236/0001-10,de 10.000.000 até 30.000.000,de 50 até 100,0,-,81872236000110
178,80.438.542/0001-80,de 1.500.000 até 4.800.000,de 10 até 50,17,"14.402,93",80438542000180
179,07.756.543/0001-82,de 30.000.000 até 100.000.000,de 50 até 100,7,"259.392,90",07756543000182
180,80.456.817/0001-08,de 1.500.000 até 4.800.000,de 10 até 50,0,-,80456817000108
181,82.134.073/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,9,"753.291,01",82134073000130
182,05.108.435/0001-78,de 30.000.000 até 100.000.000,de 100 até 500,0,-,05108435000178
183,02.535.948/0001-77,de 360.000 até 1.500.000,de 5 até 10,-,,02535948000177
184,73.702.771/0001-02,de 30.000.000 até 100.000.000,de 100 até 500,0,-,73702771000102
185,82.951.435/0001-86,de 360.000 até 1.500.000,de 10 até 50,47,"227.053,12",82951435000186
186,84.431.154/0001-28,de 100.000.000 até 300.000.000,acima de 500,10,"4.377.702,53",84431154000128
187,04.906.823/0001-31,de 1.500.000 até 4.800.000,de 10 até 50,0,-,04906823000131
188,05.013.478/0001-70,de 360.000 até 1.500.000,de 10 até 50,0,-,05013478000170
189,85.244.952/0001-03,de 1.500.000 até 4.800.000,de 10 até 50,5,"1.515.999,55",85244952000103
190,85.778.074/0001-06,de 100.000.000 até 300.000.000,de 100 até 500,0,-,85778074000106
191,07.229.006/0001-84,de 10.000.000 até 30.000.000,de 100 até 500,1,"71.355,41",07229006000184
192,04.647.957/0001-85,de 10.000.000 até 30.000.000,de 10 até 50,0,-,04647957000185
193,14.985.672/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,352,"1.540.543,97",14985672000108
194,09.483.391/0001-17,de 81.000 até 360.000,de 10 até 50,155,"848.589,70",09483391000117
195,07.885.290/0001-47,de 1.500.000 até 4.800.000,de 100 até 500,48,"2.004.320,54",07885290000147
196,02.355.505/0001-02,de 30.000.000 até 100.000.000,de 50 até 100,19,"1.535.129,91",02355505000102
197,86.403.128/0001-11,de 100.000.000 até 300.000.000,de 100 até 500,27,"52.396.175,03",86403128000111
198,79.386.132/0001-53,de 10.000.000 até 30.000.000,de 50 até 100,83,"2.512.002,19",79386132000153
199,79.530.408/0001-25,de 360.000 até 1.500.000,de 10 até 50,0,-,79530408000125
200,15.644.488/0001-67,de 10.000.000 até 30.000.000,de 10 até 50,0,-,15644488000167
201,02.279.154/0001-90,de 360.000 até 1.500.000,de 10 até 50,0,-,02279154000190
202,14.028.218/0001-69,de 81.000 até 360.000,de 10 até 50,0,-,14028218000169
203,03.948.820/0001-06,de 0 até 81.000,de 10 até 50,-,,Ana Célia Vieira Comércio e Indústria Ltda negócio
204,85.459.857/0001-27,de 100.000.000 até 300.000.000,de 100 até 500,293,"10.364.568,77",Comércio e Transportes Ramthun Ltda negócio
205,17.701.407/0001-49,de 10.000.000 até 30.000.000,de 50 até 100,0,-,17701407000149
206,04.470.242/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,1,"41.924,25",04470242000108
207,75.409.201/0001-46,de 4.800.000 até 10.000.000,de 50 até 100,144,"3.046.770,37",75409201000146
208,75.277.525/0001-78,de 4.800.000 até 10.000.000,de 100 até 500,0,-,75277525000178
209,07.598.373/0001-55,de 10.000.000 até 30.000.000,de 50 até 100,0,-,07598373000155
210,82.099.029/0001-37,de 10.000.000 até 30.000.000,de 50 até 100,8,"695.462,46",82099029000137
211,85.129.518/0001-82,de 30.000.000 até 100.000.000,de 100 até 500,0,-,85129518000182
212,83.038.547/0001-03,de 10.000.000 até 30.000.000,de 100 até 500,0,-,83038547000103
213,86.837.366/0001-35,de 30.000.000 até 100.000.000,de 100 até 500,0,-,86837366000135
214,00.101.599/0001-50,de 0 até 81.000,de 10 até 50,207,"525.811,74",00101599000150
215,08.483.483/0001-34,de 1.500.000 até 4.800.000,de 10 até 50,0,-,08483483000134
216,08.762.826/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,0,-,08762826000108
217,05.455.435/0001-44,de 10.000.000 até 30.000.000,de 10 até 50,-,,05455435000144
218,80.696.560/0001-61,de 360.000 até 1.500.000,de 10 até 50,0,-,80696560000161
219,80.940.745/0001-70,de 1.500.000 até 4.800.000,de 10 até 50,0,-,80940745000170
220,82.753.674/0001-21,de 10.000.000 até 30.000.000,acima de 500,42,"4.427.741,37",82753674000121
221,10.243.692/0001-52,de 10.000.000 até 30.000.000,de 50 até 100,0,-,10243692000152
222,83.779.942/0001-47,de 10.000.000 até 30.000.000,de 100 até 500,155,"5.658.333,34",83779942000147
223,00.583.345/0001-15,de 10.000.000 até 30.000.000,de 100 até 500,0,-,00583345000115
224,04.997.181/0001-23,de 4.800.000 até 10.000.000,de 50 até 100,0,-,04997181000123
225,03.726.402/0001-66,de 10.000.000 até 30.000.000,de 50 até 100,0,-,03726402000166
226,83.162.164/0001-42,de 360.000 até 1.500.000,de 5 até 10,-,,83162164000142
227,06.042.259/0001-81,de 4.800.000 até 10.000.000,de 50 até 100,0,-,06042259000181
228,21.593.012/0001-47,de 4.800.000 até 10.000.000,de 50 até 100,-,,21593012000147
229,86.967.163/0001-63,de 30.000.000 até 100.000.000,de 100 até 500,9,"8.534.827,17",86967163000163
230,02.554.179/0001-54,de 4.800.000 até 10.000.000,de 100 até 500,458,"2.373.172,25",02554179000154
231,05.974.479/0001-80,de 4.800.000 até 10.000.000,de 50 até 100,0,-,05974479000180
232,03.483.185/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,0,-,03483185000120
233,80.416.225/0001-62,de 4.800.000 até 10.000.000,de 100 até 500,0,-,80416225000162
234,76.865.377/0001-75,de 1.500.000 até 4.800.000,de 10 até 50,0,-,76865377000175
235,00.101.599/0001-50,de 0 até 81.000,de 10 até 50,207,"525.811,74",00101599000150
236,86.375.656/0001-04,de 10.000.000 até 30.000.000,de 100 até 500,0,-,86375656000104
237,86.376.217/0001-16,de 4.800.000 até 10.000.000,de 100 até 500,25,"4.926.820,96",86376217000116
238,08.643.573/0001-45,de 81.000 até 360.000,de 10 até 50,55,"833.316,46",08643573000145
239,07.646.232/0001-60,de 4.800.000 até 10.000.000,de 50 até 100,0,-,07646232000160
240,02.591.957/0001-85,de 10.000.000 até 30.000.000,de 50 até 100,6,"3.359.968,71",02591957000185
241,08.866.500/0001-12,de 1.500.000 até 4.800.000,de 10 até 50,62,"5.268.881,66",08866500000112
242,09.042.430/0001-40,de 1.500.000 até 4.800.000,de 10 até 50,22,"349.601,13",09042430000140
243,95.813.382/0001-89,de 4.800.000 até 10.000.000,de 50 até 100,-,,95813382000189
244,86.967.270/0001-91,de 1.500.000 até 4.800.000,de 10 até 50,34,"4.958.532,93",86967270000191
245,00.282.717/0001-73,de 30.000.000 até 100.000.000,de 50 até 100,0,-,00282717000173
246,85.134.096/0001-33,de 1.500.000 até 4.800.000,de 50 até 100,0,-,85134096000133
247,86.046.810/0001-02,de 10.000.000 até 30.000.000,de 100 até 500,98,"1.660.255,83",86046810000102
248,79.502.563/0001-38,de 4.800.000 até 10.000.000,de 50 até 100,0,-,79502563000138
249,05.096.500/0001-92,de 81.000 até 360.000,de 10 até 50,0,-,05096500000192
250,07.365.641/0001-99,de 10.000.000 até 30.000.000,de 100 até 500,0,-,07365641000199
251,85.907.210/0001-10,de 4.800.000 até 10.000.000,de 100 até 500,71,"26.687.165,93",85907210000110
252,09.574.015/0001-38,de 360.000 até 1.500.000,de 10 até 50,0,-,09574015000138
253,10.556.018/0002-09,de 100.000.000 até 300.000.000,de 50 até 100,0,-,10556018000209
254,81.315.426/0014-50,acima de 1.000.000.000,de 50 até 100,0,-,81315426001450
255,17.179.941/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,56,"3.276.578,21",17179941000137
256,05.404.612/0001-63,de 1.500.000 até 4.800.000,de 10 até 50,0,-,05404612000163
257,02.288.420/0001-40,de 10.000.000 até 30.000.000,de 50 até 100,13,"5.813.873,88",02288420000140
258,04.120.251/0001-60,de 10.000.000 até 30.000.000,de 50 até 100,0,-,04120251000160
259,02.576.052/0001-36,de 360.000 até 1.500.000,de 10 até 50,0,-,02576052000136
260,01.242.532/0001-06,de 4.800.000 até 10.000.000,de 10 até 50,75,"530.995,33",01242532000106
261,61.105.060/0001-63,de 30.000.000 até 100.000.000,acima de 500,29,"4.893.644,10",61105060000163
262,04.626.152/0001-55,de 100.000.000 até 300.000.000,de 100 até 500,0,-,04626152000155
263,83.310.441/0003-89,acima de 1.000.000.000,de 50 até 100,2,"19.653,00",83310441000389
264,03.609.381/0001-07,acima de 1.000.000.000,de 50 até 100,58,"137.353,92",GP COMBUSTÍVEIS
265,03.391.986/0001-66,de 30.000.000 até 100.000.000,de 100 até 500,1,"555.639,01",03391986000166
266,05.204.790/0001-40,de 0 até 81.000,de 0 até 5,-,,Metasul Industria de Materiais de Construção
267,67.752.337/0001-26,de 81.000 até 360.000,de 5 até 10,0,-,Cyan Tintas e Vernizes
268,86.925.450/0001-00,de 360.000 até 1.500.000,de 0 até 5,-,,Plaszom Embalagens
269,03.675.453/0001-06,de 10.000.000 até 30.000.000,de 100 até 500,0,-,03675453000106
270,12.408.686/0001-33,de 81.000 até 360.000,de 0 até 5,-,,Inplac indústria de plásticos sa
271,31.313.596/0001-03,de 0 até 81.000,de 0 até 5,-,,ENGE AÇO
272,02.470.502/0001-01,de 81.000 até 360.000,de 10 até 50,145,"971.225,43",VAIRELLI INDUSTRIA E COMERCIO DE CONFECCOES LTDA
