,CnpjCpf,Nome,NomeFantasia,Logradouro,NumeroLogradouro,ComplementoEndereco,BairroEndereco,MunicipioEndereco,UfEndereco,TelefonePrincipal,EmailPrincipal,Site,ReceitaSituacao,ReceitaDataSituacao,ReceitaMotivoSituacao,ReceitaTipo,ReceitaAbertura,ReceitaNaturezaJuridica,ReceitaEFR,ReceitaSituacaoEspecial,ReceitaDataSituacaoEspecial,ReceitaCapitalSocial,CadastroRaizCNPJ_Id,Nire,OpcaoTributaria,SimplesNacional,SIMEI,SimplesNacionalSIMEIConsultaDe,Porte,ReceitaAtividade,ReceitaAtividadeSecundaria,VaduAtividadeCNAE,ReceitaMatrizCapitalSocial,CepEnderecoFormatado,Socios,CodIbge
160,04.330.681/0001-07,SCHEINY IND. E COM. DE CONFECCOES LTDA,SCHEINY MALHAS,R HERCILIO FIDES ZIMMERMANN,615,SALA 2 E 3,MARGEM EQUERDA,GASPAR,SC,(47) 3332-0437,eduardo@visaosolucoes.com.br,,ATIVA,2004-10-09T00:00:00.000,,MATRIZ,2001-03-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,210000.0,4330681,42.202.957.734,SIMPLES NACIONAL,,,,EPP,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
",Indústria,210000.0,89110-001,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'OSNI GOEDERT', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SCHEILA BUCHER GOEDERT', 'NomeRepresentanteLegal': None}]",4205902
161,85.370.559/0001-66,INDUSTRIA E COMERCIO DE CONFECCOES MORGANA LTDA,CONFECCOES MORGANA,ROD IVO SILVEIRA,2.550,,SANTA TEREZINHA,GASPAR,SC,,,,ATIVA,2004-03-06T00:00:00.000,,MATRIZ,1992-08-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,5000.0,85370559,42.201.598.463,,,,,EPP,"13.30-8/00 Fabricação de tecidos de malha
","13.21-9/00 Tecelagem de fios de algodão
13.23-5/00 Tecelagem de fios de fibras artificiais e sintéticas
14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
",Indústria,5000.0,89110-001,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'DIRCE MOSER RONCAGLIO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'DALMI RONCAGLIO', 'NomeRepresentanteLegal': None}]",4205902
162,09.545.429/0001-39,ALEKIDS CONFECCOES LTDA,,R ALEXANDRE TESTONI,50,,SANTA TEREZINHA,GASPAR,SC,(47) 3332-7638,,,ATIVA,2008-05-07T00:00:00.000,,MATRIZ,2008-05-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,30000.0,9545429,42.204.104.470,,,,,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
13.11-1/00 Preparação e fiação de fibras de algodão
13.21-9/00 Tecelagem de fios de algodão
",Indústria,30000.0,89110-001,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ALEX WILBERT', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ROSELI BERNADETE WILBERT', 'NomeRepresentanteLegal': None}]",4205902
163,15.057.926/0001-90,FIBRAM INDUSTRIA E COMERCIO DE ARTIGOS TEXTEIS LTDA,FIBRAM INDUSTRIA E COMERCIO,R VITORIO SFENDRYCH,611,,BARIGUI,ARAUCARIA,PR,(41) 3045-8282/ (41) 9952-5657,jcbertagnolli@yahoo.com.br,,ATIVA,2012-02-02T00:00:00.000,,MATRIZ,2012-02-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,30000.0,15057926,41.207.268.855,,False,False,2021-04-20T10:54:01.000,ME,"46.89-3/02 Comércio atacadista de fios e fibras beneficiados
","46.41-9/01 Comércio atacadista de tecidos
46.41-9/02 Comércio atacadista de artigos de cama, mesa e banho
13.51-1/00 Fabricação de artefatos têxteis para uso doméstico
",Comércio,30000.0,83707-640,"[{'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'PERICLES APARECIDO TOLEDO BUENO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RODOLFO PAULO BAUER NETO', 'NomeRepresentanteLegal': None}]",4101804
164,05.376.311/0001-73,NEW TEXTIL LTDA,,R ERNESTO BIANCHINI,844,,RIO BRANCO,BRUSQUE,SC,(47) 3355-0301,,,ATIVA,2003-08-09T00:00:00.000,,MATRIZ,2002-10-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,3600000.0,5376311,42.203.230.323,SIMPLES NACIONAL,,,,EPP,"13.30-8/00 Fabricação de tecidos de malha
","13.51-1/00 Fabricação de artefatos têxteis para uso doméstico
14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
46.41-9/02 Comércio atacadista de artigos de cama, mesa e banho
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
73.12-2/00 Agenciamento de espaços para publicidade, exceto em veículos de comunicação
",Indústria,3600000.0,88350-600,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'JANAINA FAGUNDES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'CAROLINE KORMANN FAGUNDES', 'NomeRepresentanteLegal': None}]",4202909
165,08.953.166/0001-34,GARMISCH TEXTIL EIRELI,,TV DOM JOAQUIM,493,SALA 01,DOM JOAQUIM,BRUSQUE,SC,(47) 3351-0844,qualidade@garmischtextil.com.br,,ATIVA,2007-07-16T00:00:00.000,,MATRIZ,2007-07-16T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,100000.0,8953166,42.600.489.285,,False,False,2018-11-20T00:00:00.000,EPP,"13.30-8/00 Fabricação de tecidos de malha
","13.11-1/00 Preparação e fiação de fibras de algodão
13.12-0/00 Preparação e fiação de fibras têxteis naturais, exceto algodão
13.23-5/00 Tecelagem de fios de fibras artificiais e sintéticas
13.21-9/00 Tecelagem de fios de algodão
14.22-3/00 Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
46.41-9/02 Comércio atacadista de artigos de cama, mesa e banho
46.16-8/00 Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
47.55-5/03 Comercio varejista de artigos de cama, mesa e banho
46.41-9/01 Comércio atacadista de tecidos
46.89-3/02 Comércio atacadista de fios e fibras beneficiados
47.55-5/01 Comércio varejista de tecidos
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
",Indústria,100000.0,88359-280,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RODRIGO LORENZ FREITAS', 'NomeRepresentanteLegal': None}]",4202909
166,05.703.627/0001-22,"NEW ORDER COMERCIO, IMPORTACAO E EXPORTACAO LTDA",,R BAHIA,8775,GALPAO01,PASSO MANSO,BLUMENAU,SC,(47) 3236-1600,financeiro@fogatti.com.br,,ATIVA,2004-06-05T00:00:00.000,,MATRIZ,2003-06-11T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,300000.0,5703627,42.203.315.876,LUCRO PRESUMIDO,False,False,2018-11-20T00:00:00.000,DEMAIS,"27.59-7/99 Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios
","46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
46.49-4/01 Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico
27.59-7/01 Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios
28.29-1/99 Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios
46.15-0/00 Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico
25.99-3/02 Serviço de corte e dobra de metais
27.51-1/00 Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios
45.11-1/01 Comércio a varejo de automóveis, camionetas e utilitários novos
45.11-1/03 Comércio por atacado de automóveis, camionetas e utilitários novos e usados
45.30-7/01 Comércio por atacado de peças e acessórios novos para veículos automotores
45.30-7/03 Comércio a varejo de peças e acessórios novos para veículos automotores
45.41-2/01 Comércio por atacado de motocicletas e motonetas
45.41-2/02 Comércio por atacado de peças e acessórios para motocicletas e motonetas
45.41-2/03 Comércio a varejo de motocicletas e motonetas novas
46.35-4/99 Comércio atacadista de bebidas não especificadas anteriormente
46.37-1/07 Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes
46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
46.42-7/02 Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
46.43-5/01 Comércio atacadista de calçados
46.43-5/02 Comércio atacadista de bolsas, malas e artigos de viagem
46.49-4/02 Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
46.51-6/01 Comércio atacadista de equipamentos de informática
46.51-6/02 Comércio atacadista de suprimentos para informática
46.52-4/00 Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
47.21-1/04 Comércio varejista de doces, balas, bombons e semelhantes
47.23-7/00 Comércio varejista de bebidas
47.51-2/01 Comércio varejista especializado de equipamentos e suprimentos de informática
47.53-9/00 Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
47.57-1/00 Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação
47.81-4/00 Comércio varejista de artigos do vestuário e acessórios
47.82-2/01 Comércio varejista de calçados
47.82-2/02 Comércio varejista de artigos de viagem
52.11-7/99 Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
66.12-6/04 Corretoras de contratos de mercadorias
68.10-2/02 Aluguel de imóveis próprios
45.41-2/06 Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
",Indústria,300000.0,89032-525,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RUBENS SIMAS DE ARAUJO', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SHARLENE RAQUEL GRETTER', 'NomeRepresentanteLegal': None}]",4202404
167,03.485.692/0001-01,HANSA-FLEX DO BRASIL LTDA,,ROD BR-470,2.461,,ITOUPAVAZINHA,BLUMENAU,SC,(47) 3321-6300,d.fiebes@hansa-flex.com.br,www.hansa-flex.com.br,ATIVA,2003-09-27T00:00:00.000,,MATRIZ,1999-11-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,1200000.0,3485692,42.202.748.302,LUCRO REAL,False,False,2018-11-20T00:00:00.000,DEMAIS,"46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
","46.62-1/00 Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças
47.44-0/99 Comércio varejista de materiais de construção em geral
33.21-0/00 Instalação de máquinas e equipamentos industriais
33.14-7/99 Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
28.22-4/01 Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios
28.22-4/02 Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios
28.61-5/00 Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta
28.62-3/00 Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios
28.63-1/00 Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios
28.64-0/00 Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios
28.65-8/00 Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios
28.66-6/00 Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios
28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
",Comércio,1200000.0,89066-010,"[{'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'KABE PARTICIPACOES LTDA.', 'NomeRepresentanteLegal': 'KLAUS JOSEF BEHR'}, {'Qualificacao': '37-Sócio Pessoa Jurídica Domiciliado no Exterior', 'PaisOrigem': 'ALEMANHA', 'QualificacaoRepresentanteLegal': '17-Procurador', 'Nome': 'HANSA FLEX INTL.GMBH', 'NomeRepresentanteLegal': 'SEBASTIAN VOLKMAR SCHRADER'}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SEBASTIAN VOLKMAR SCHRADER', 'NomeRepresentanteLegal': None}]",4202404
168,09.649.019/0001-38,INDUSTRIA DE TINTAS E REVESTIMENTOS REALCOR EIRELI,,R PORTO RICO,146,,EMILIANO PERNETA,PINHAIS,PR,(41) 3366-6940,,,ATIVA,2008-06-13T00:00:00.000,,MATRIZ,2008-06-13T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,,,100000.0,9649019,41.600.549.872,,,,,ME,"20.71-1/00 Fabricação de tintas, vernizes, esmaltes e lacas
",,Indústria,100000.0,83325-196,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ROSANA MARIA BERNES', 'NomeRepresentanteLegal': None}]",4119152
169,04.444.171/0001-60,OBR EQUIPAMENTOS INDUSTRIAIS LTDA,OBR,R DONA FRANCISCA,8300,BLOCO C - MODULO 1,ZONA INDUSTRIAL NORTE,JOINVILLE,SC,(47) 3435-4464,,www.obr.com.br,ATIVA,2001-04-26T00:00:00.000,,MATRIZ,2001-04-26T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,400000.0,4444171,42.202.982.992,LUCRO PRESUMIDO,False,False,2018-11-20T00:00:00.000,DEMAIS,"28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
","46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
47.89-0/99 Comércio varejista de outros produtos não especificados anteriormente
25.43-8/00 Fabricação de ferramentas
33.21-0/00 Instalação de máquinas e equipamentos industriais
33.14-7/99 Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
46.14-1/00 Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves
",Indústria,400000.0,89219-600,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ELIENE REGINA ZAMBELLI ABOOBAKAR', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'CESAR AUGUSTO ZAMBELLI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ANDRE ESDRAS SCHIER', 'NomeRepresentanteLegal': None}]",4209102
170,02.791.452/0001-64,VALE INDUSTRIA E COMERCIO LTDA,,R GERMANO HOSCHPRUNG,90,GALPAOA,SOUZA CRUZ,BRUSQUE,SC,(47) 3351-1715,administracao@valetransfer.com.br,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1998-10-06T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,573000.0,2791452,42.202.597.517,SIMPLES NACIONAL,,,,EPP,"32.99-0/99 Fabricação de produtos diversos não especificados anteriormente
","46.93-1/00 Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários
18.13-0/99 Impressão de material para outros usos
",Indústria,573000.0,88359-030,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'EUCLIDES FRANCISCO VALE JUNIOR', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'IZABEL KORMANN VALE', 'NomeRepresentanteLegal': None}]",4202909
171,01.419.915/0001-07,VOTEX INDUSTRIA TEXTIL LTDA.,,R ITAJAI,425,,LIMOEIRO,BRUSQUE,SC,,,,ATIVA,2005-09-24T00:00:00.000,,MATRIZ,1996-09-02T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,25000.0,1419915,42.202.219.083,SIMPLES NACIONAL,True,False,2019-09-24T10:09:22.000,EPP,"13.59-6/00 Fabricação de outros produtos têxteis não especificados anteriormente
",,Indústria,25000.0,88352-495,"[{'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LUIZ CARLOS VIESENTEINER', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'RENAN LUIZ VIESENTEINER', 'NomeRepresentanteLegal': None}]",4202909
172,75.048.611/0001-09,PIERGO INDUSTRIA E COMERCIO DE ACO EIRELI EM RECUPERACAO JUDICIAL,,R FRANCISCO NUNES,2030,,PRADO VELHO,CURITIBA,PR,,,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1971-11-17T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,RECUPERACAO JUDICIAL,2012-10-24T00:00:00.000,9400000.0,75048611,41.600.081.960,LUCRO REAL,False,False,2018-11-20T00:00:00.000,EPP,"25.42-0/00 Fabricação de artigos de serralheria, exceto esquadrias
","52.11-7/99 Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
56.11-2/01 Restaurantes e similares
",Indústria,9400000.0,80215-000,"[{'Qualificacao': '65-Titular Pessoa Física Residente ou Domiciliado no Brasil', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ALESSANDRINA GOTTI', 'NomeRepresentanteLegal': None}, {'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'PIETRO PAOLO GOTTI', 'NomeRepresentanteLegal': None}]",4106902
173,10.979.752/0001-08,WALENTEX INDUSTRIA E COMERCIO TEXTIL LTDA,,R OSVALDO NIEBUHR,580,SALA 01,NOVA BRASILIA - URBANO,BRUSQUE,SC,(47) 3252-0510,FINANCEIRO2@WALENTEX.COM.BR,,ATIVA,2009-07-17T00:00:00.000,,MATRIZ,2009-07-17T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,20000.0,10979752,42.204.341.463,,False,False,2018-11-20T00:00:00.000,EPP,"13.30-8/00 Fabricação de tecidos de malha
","46.42-7/01 Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
46.89-3/02 Comércio atacadista de fios e fibras beneficiados
46.41-9/01 Comércio atacadista de tecidos
14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
13.21-9/00 Tecelagem de fios de algodão
13.22-7/00 Tecelagem de fios de fibras têxteis naturais, exceto algodão
14.11-8/01 Confecção de roupas íntimas
32.92-2/02 Fabricação de equipamentos e acessórios para segurança pessoal e profissional
46.42-7/02 Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
46.49-4/08 Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar
46.41-9/03 Comércio atacadista de artigos de armarinho
",Indústria,20000.0,88352-191,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'CARLOS EDUARDO WALENDOWSKY', 'NomeRepresentanteLegal': None}]",4202909
174,08.278.672/0001-75,MADVEI LTDA,MADVEI,EST ANTA GORDA,S/N,KM 01,ANTA GORDA,RESERVA,PR,(42) 9977-5540,madvei@madvei.com.br,www.madvei.com.br,ATIVA,2006-08-23T00:00:00.000,,MATRIZ,2006-08-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,2000000.0,8278672,41.205.771.479,,False,False,2018-11-20T00:00:00.000,DEMAIS,"16.10-2/03 Serrarias com desdobramento de madeira em bruto
","46.71-1/00 Comércio atacadista de madeira e produtos derivados
47.44-0/02 Comércio varejista de madeira e artefatos
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
",Indústria,2000000.0,84320-000,"[{'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'VICTOR ELIEQUIM IENSUE', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'TURMALINA PARTICIPACOES S/A', 'NomeRepresentanteLegal': 'VICTOR ELIEQUIM IENSUE'}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '05-Administrador', 'Nome': 'ESPERANCA MADEIRAS EIRELI', 'NomeRepresentanteLegal': 'VICTOR ELIEQUIM IENSUE'}]",4121703
175,16.437.064/0001-94,BASTOS GESTAO EMPRESARIAL LTDA,KOSHIK,R HENRIQUE HORST,371,SALA 2,JARDIM HORIZONTE,IMBITUVA,PR,(42) 3436-2427,nfe@calcadospedeferro.com,,ATIVA,2012-07-11T00:00:00.000,,MATRIZ,2012-07-11T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,40000.0,16437064,41.207.391.312,,False,False,2018-11-20T00:00:00.000,EPP,"70.20-4/00 Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica
","73.19-0/02 Promoção de vendas
",Serviço,40000.0,84430-000,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'AGNALDO JOSE BASTOS JULIO', 'NomeRepresentanteLegal': None}]",4110102
176,16.433.946/0001-81,K N X BENEFICIAMENTO E COMERCIO DE CEREIAIS LTDA,,R JOAO RIBEIRO DE MORAES,300,LOTE 01,SALGADINHO,CAMPO LARGO,PR,(41) 3392-6471/ (41) 9948-4903,solange@knxalimentos.com.br,,ATIVA,2012-06-27T00:00:00.000,,MATRIZ,2012-06-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,10000.0,16433946,41.207.379.614,,False,False,2019-03-20T15:45:31.000,ME,"46.32-0/03 Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada
","46.32-0/01 Comércio atacadista de cereais e leguminosas beneficiados
01.63-6/00 Atividades de pós-colheita
10.81-3/01 Beneficiamento de café
82.92-0/00 Envasamento e empacotamento sob contrato
46.33-8/01 Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos
49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
46.39-7/01 Comércio atacadista de produtos alimentícios em geral
52.11-7/99 Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
",Comércio,10000.0,83606-605,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'GILSON KUDLAVIES', 'NomeRepresentanteLegal': None}, {'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'SOLANGE NALEPA KUDLAVIES', 'NomeRepresentanteLegal': None}]",4104204
177,02.888.241/0001-44,ALEMARA MALHAS LTDA,ALEMARA,R JOSE ZUCHI,20,,SANTA TEREZINHA,GASPAR,SC,,,,ATIVA,2005-11-03T00:00:00.000,,MATRIZ,1998-12-03T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,5000.0,2888241,42.202.586.850,,,,,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
","14.12-6/03 Facção de peças do vestuário, exceto roupas íntimas
",Indústria,5000.0,89110-001,"[{'Qualificacao': '49-Sócio-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'ALEXANDRE PELENS', 'NomeRepresentanteLegal': None}, {'Qualificacao': '30-Sócio ou Acionista Menor (Assistido/Representado)', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '15-Pai', 'Nome': 'CAROLINI PELENS', 'NomeRepresentanteLegal': 'ALEXANDRE PELENS'}]",4205902
178,07.083.668/0001-99,SOLEFILMES IMPORTACAO DISTRIBUICAO E LOGISTICA LTDA,SOLEFLEX FILMES,R SENADOR CARLOS GOMES DE OLIVEIRA,863,COMP. EMPR. PITZ CD 01 UNIDADE 18 DISTRITO INDUSTRIAL,FAZENDA SANTO ANTONIO,SAO JOSE,SC,(48) 3343-4333/ (48) 3343-4312,,,ATIVA,2004-11-09T00:00:00.000,,MATRIZ,2004-11-09T00:00:00.000,206-2 - Sociedade Empresária Limitada,,,,5400000.0,7083668,42.203.530.343,,,,,DEMAIS,"46.89-3/99 Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
","68.10-2/02 Aluguel de imóveis próprios
70.20-4/00 Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica
74.90-1/04 Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários
46.79-6/99 Comércio atacadista de materiais de construção em geral
46.73-7/00 Comércio atacadista de material elétrico
66.12-6/04 Corretoras de contratos de mercadorias
46.12-5/00 Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos
46.13-3/00 Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens
",Comércio,5400000.0,88104-785,"[{'Qualificacao': '05-Administrador', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LEONILDES TEREZINHA PITZ SOLE', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'LETICIA PITZ SOLE', 'NomeRepresentanteLegal': None}, {'Qualificacao': '22-Sócio', 'PaisOrigem': '', 'QualificacaoRepresentanteLegal': '', 'Nome': 'FRANCINE PITZ SOLE', 'NomeRepresentanteLegal': None}]",4216602
