,Nome,UfEndereco,ReceitaSituacao,ReceitaAbertura,ReceitaNaturezaJuridica,ReceitaSituacaoEspecial,ReceitaCapitalSocial,OpcaoTributaria,Porte,ReceitaAtividade,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto
10,PLASTICOS ZANOTTI LTDA,SC,ATIVA,1999-11-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,2928000.0,,DEMAIS,"22.29-3/99 Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
",03.532.453/0001-57,de 10.000.000 até 30.000.000,de 50 até 100,25,"45.919.981,45"
11,FRANGOS MORGANA ABATE DE AVES LTDA,SC,ATIVA,1990-08-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,10000000.0,,DEMAIS,"10.12-1/01 Abate de aves
",82.134.073/0001-30,de 30.000.000 até 100.000.000,de 100 até 500,9,"753.291,01"
12,DIPRORAMA IND. E COM. DE NUTRICAO ANIMAL LTDA,SC,ATIVA,1993-08-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,220000.0,,DEMAIS,"10.66-0/00 Fabricação de alimentos para animais
",73.305.815/0001-52,de 1.500.000 até 4.800.000,de 10 até 50,0,-
13,IMPORTADORA E EXPORTADORA DE MEDIDORES POLIMATE LTDA,RS,ATIVA,1969-02-11T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1600000.0,LUCRO REAL,DEMAIS,"46.63-0/00 Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
",92.804.541/0001-90,de 30.000.000 até 100.000.000,de 50 até 100,121,"13.053.580,67"
14,SANTA RITA - COMERCIO E INSTALACOES LTDA.,SC,ATIVA,1969-12-31T00:00:00.000,206-2 - Sociedade Empresária Limitada,,18700000.0,LUCRO REAL,DEMAIS,"47.44-0/99 Comércio varejista de materiais de construção em geral
",86.365.350/0001-77,de 30.000.000 até 100.000.000,de 100 até 500,122,"2.186.664,80"
15,BRUNO INDUSTRIAL LTDA,SC,ATIVA,2002-07-09T00:00:00.000,206-2 - Sociedade Empresária Limitada,,300000.0,LUCRO REAL,DEMAIS,"28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
",05.145.957/0001-40,de 10.000.000 até 30.000.000,de 100 até 500,4,"3.286.590,86"
16,BASSO VINHOS E ESPUMANTES LTDA EM RECUPERACAO JUDICIAL,RS,ATIVA,1974-04-09T00:00:00.000,206-2 - Sociedade Empresária Limitada,RECUPERACAO JUDICIAL,1800000.0,LUCRO PRESUMIDO,DEMAIS,"11.12-7/00 Fabricação de vinho
",87.843.660/0001-12,de 30.000.000 até 100.000.000,de 100 até 500,79,"22.542.914,50"
17,HAGAPACK INDUSTRIA E COMERCIO DE PLASTICOS LTDA.,SC,ATIVA,2007-06-18T00:00:00.000,206-2 - Sociedade Empresária Limitada,,60000.0,,DEMAIS,"22.22-6/00 Fabricação de embalagens de material plástico
",08.895.701/0001-48,de 1.500.000 até 4.800.000,de 10 até 50,0,-
18,PERFIPAR S/A MANUFATURADOS DE ACO EM RECUPERACAO JUDICIAL,PR,ATIVA,1993-02-11T00:00:00.000,205-4 - Sociedade Anônima Fechada,RECUPERACAO JUDICIAL,,LUCRO REAL,DEMAIS,"24.31-8/00 Produção de tubos de aço com costura
",95.816.963/0001-74,de 10.000.000 até 30.000.000,acima de 500,33,"39.698.117,61"
19,"DI CANALLI COMERCIO, TRANSPORTES E EMPREENDIMENTOS LTDA",RS,ATIVA,2000-01-13T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1605215.0,LUCRO REAL,DEMAIS,"49.30-2/02 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
",03.591.919/0001-95,de 0 até 81.000,de 10 até 50,27,"248.716,66"
20,MICROINOX - FUNDICAO DE PRECISAO E USINAGEM LTDA.,RS,ATIVA,2011-06-03T00:00:00.000,206-2 - Sociedade Empresária Limitada,,74059693.0,,DEMAIS,"25.99-3/99 Fabricação de outros produtos de metal não especificados anteriormente
",13.785.854/0001-72,de 30.000.000 até 100.000.000,de 100 até 500,596,"6.561.916,73"
21,BOXTOP DO BRASIL ELEVADORES LTDA,SC,ATIVA,2000-03-30T00:00:00.000,206-2 - Sociedade Empresária Limitada,,805200.0,,DEMAIS,"28.22-4/02 Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios
",03.726.402/0001-66,de 10.000.000 até 30.000.000,de 50 até 100,0,-
22,CASA DA PANIFICACAO COMERCIO DE PRODUTOS PARA PANIFICACAO LTDA,SC,ATIVA,2000-05-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,850000.0,,DEMAIS,"46.32-0/02 Comércio atacadista de farinhas, amidos e féculas
",03.838.986/0001-61,de 4.800.000 até 10.000.000,de 50 até 100,0,-
23,CENTERPLAST EMBALAGENS PLASTICAS LTDA,SC,ATIVA,2001-02-21T00:00:00.000,206-2 - Sociedade Empresária Limitada,,250000.0,LUCRO REAL,DEMAIS,"22.22-6/00 Fabricação de embalagens de material plástico
",04.376.684/0001-81,de 30.000.000 até 100.000.000,de 100 até 500,0,-
24,PLASTIBRAS INDUSTRIA DE PLASTICOS LTDA.,SC,ATIVA,1984-12-05T00:00:00.000,206-2 - Sociedade Empresária Limitada,,300000.0,,EPP,"22.29-3/02 Fabricação de artefatos de material plástico para usos industriais
",78.627.148/0001-48,de 1.500.000 até 4.800.000,de 10 até 50,0,-
25,ENVASE COMERCIO DE EMBALAGENS - EIRELI,PR,ATIVA,1991-12-05T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,63000.0,SIMPLES NACIONAL,EPP,"22.22-6/00 Fabricação de embalagens de material plástico
",84.907.781/0001-92,de 360.000 até 1.500.000,de 10 até 50,0,-
26,INDESTEL INDUSTRIA DE EMBALAGENS OESTE LTDA,SC,ATIVA,1982-10-19T00:00:00.000,206-2 - Sociedade Empresária Limitada,,460000.0,LUCRO PRESUMIDO,DEMAIS,"17.31-1/00 Fabricação de embalagens de papel
",76.380.914/0001-97,de 4.800.000 até 10.000.000,de 100 até 500,0,-
27,ZANETTI ALDRIGHI & CIA LTDA,RS,INAPTA,1985-06-20T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1500000.0,,DEMAIS,,90.336.215/0001-70,de 30.000.000 até 100.000.000,de 50 até 100,293,"7.404.624,93"
28,CRISTAL MASTER INDUSTRIA E COMERCIO LTDA,SC,ATIVA,2002-11-01T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5000000.0,LUCRO REAL,DEMAIS,"22.29-3/99 Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
",05.378.317/0001-80,de 100.000.000 até 300.000.000,de 100 até 500,0,-
29,FRIGORIFICO EL'GOLLI LTDA,SC,ATIVA,1997-10-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,820000.0,LUCRO REAL,DEMAIS,"10.11-2/01 Frigorífico - abate de bovinos
",02.225.085/0001-31,de 100.000.000 até 300.000.000,de 100 até 500,0,-
30,SIVALSKI INDUSTRIA TEXTIL LTDA,SC,ATIVA,1995-11-28T00:00:00.000,206-2 - Sociedade Empresária Limitada,,470000.0,LUCRO PRESUMIDO,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",00.933.691/0001-86,de 30.000.000 até 100.000.000,de 100 até 500,1,"80,00"
31,PROCOPIO INDUSTRIA E COMERCIO LTDA EM RECUPERACAO JUDICIAL,PR,ATIVA,1968-11-28T00:00:00.000,206-2 - Sociedade Empresária Limitada,RECUPERACAO JUDICIAL,53878951.0,LUCRO REAL,DEMAIS,"13.23-5/00 Tecelagem de fios de fibras artificiais e sintéticas
",76.642.891/0001-41,de 100.000.000 até 300.000.000,de 100 até 500,505,"12.278.221,69"
32,CIA CANOINHAS DE PAPEL,SC,ATIVA,1983-06-07T00:00:00.000,205-4 - Sociedade Anônima Fechada,,110000000.0,LUCRO REAL,DEMAIS,"17.21-4/00 Fabricação de papel
",76.827.344/0001-30,de 300.000.000 até 500.000.000,de 100 até 500,0,-
33,FERRAGENS GS INDUSTRIA DE ACESSORIOS EIRELI,RS,ATIVA,2000-10-06T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,94000.0,,EPP,"25.32-2/01 Produção de artefatos estampados de metal
",04.094.369/0001-61,de 1.500.000 até 4.800.000,de 10 até 50,0,-
34,ALVER KLEIN INDUSTRIAL LTDA,SC,ATIVA,2001-09-14T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1100000.0,,EPP,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",04.663.931/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,136,"2.495.466,02"
35,BIG METAIS INDUSTRIA E COMERCIO EIRELI,RS,ATIVA,2007-01-04T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,93700.0,,DEMAIS,"24.41-5/02 Produção de laminados de alumínio
",08.601.546/0001-00,de 1.500.000 até 4.800.000,acima de 500,238,"2.936.418,08"
36,C.C.C.A COMERCIAL E INDUSTRIAL LTDA,SC,ATIVA,1993-09-23T00:00:00.000,206-2 - Sociedade Empresária Limitada,,100000.0,,DEMAIS,"14.11-8/01 Confecção de roupas íntimas
",73.379.356/0001-51,de 1.500.000 até 4.800.000,de 10 até 50,29,"224.556,79"
37,GRANJA AVICOLA BOM FRANGO LTDA,RS,ATIVA,1991-10-21T00:00:00.000,206-2 - Sociedade Empresária Limitada,,910000.0,,DEMAIS,"10.12-1/01 Abate de aves
",94.305.091/0001-17,de 10.000.000 até 30.000.000,de 50 até 100,0,-
38,CAIMAN INDUSTRIA E COMERCIO DE MALHAS LTDA,SC,ATIVA,1980-11-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1600000.0,LUCRO REAL,DEMAIS,"13.30-8/00 Fabricação de tecidos de malha
",75.370.437/0001-16,de 30.000.000 até 100.000.000,de 100 até 500,0,-
39,GIRACOR TEXTIL LTDA,SC,ATIVA,2005-09-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,320000.0,,DEMAIS,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
",07.598.373/0001-55,de 10.000.000 até 30.000.000,de 50 até 100,0,-
40,FEMEPE CAPTURA COMERCIO E INDUSTRIA DE PESCADOS LTDA,SC,ATIVA,2008-06-19T00:00:00.000,206-2 - Sociedade Empresária Limitada,,22657308.0,,DEMAIS,"03.11-6/01 Pesca de peixes em água salgada
",10.013.491/0001-69,de 10.000.000 até 30.000.000,de 50 até 100,3,"232.120,94"
41,BRANDILI TEXTIL LTDA,SC,ATIVA,1966-09-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,46327338.0,LUCRO REAL,DEMAIS,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",84.229.889/0001-73,de 100.000.000 até 300.000.000,de 100 até 500,0,-
42,TECELAGEM ATLANTICA EIRELI,SC,ATIVA,1979-03-13T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,600000.0,LUCRO REAL,DEMAIS,"13.21-9/00 Tecelagem de fios de algodão
",83.602.896/0001-06,de 30.000.000 até 100.000.000,acima de 500,0,-
43,KOHLER TINTURARIA LTDA,SC,ATIVA,1966-08-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,15000000.0,LUCRO PRESUMIDO,DEMAIS,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
",82.982.307/0001-08,de 30.000.000 até 100.000.000,de 100 até 500,0,-
44,P&W DESIGN INDUSTRIA DE MOVEIS LTDA,RS,ATIVA,1998-12-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,390000.0,,DEMAIS,"31.01-2/00 Fabricação de móveis com predominância de madeira
",02.897.594/0001-00,de 4.800.000 até 10.000.000,de 100 até 500,0,-
45,LUFAMAR TECIDOS LTDA,SC,ATIVA,1976-10-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5240400.0,LUCRO REAL,DEMAIS,"13.21-9/00 Tecelagem de fios de algodão
",83.182.485/0001-09,de 10.000.000 até 30.000.000,de 100 até 500,0,-
46,INCOTEXTIL INDUSTRIAL LTDA,SC,ATIVA,2006-06-20T00:00:00.000,206-2 - Sociedade Empresária Limitada,,100000.0,,DEMAIS,"13.30-8/00 Fabricação de tecidos de malha
",08.080.487/0001-71,de 100.000.000 até 300.000.000,de 100 até 500,0,-
47,CEQUIPEL INDUSTRIA DE MOVEIS E COMERCIO DE EQUIPAMENTOS GERAIS LTDA,PR,ATIVA,1994-11-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,22273387.5,LUCRO REAL,DEMAIS,"47.54-7/01 Comércio varejista de móveis
",00.325.400/0001-77,de 30.000.000 até 100.000.000,de 100 até 500,133,"20.336.992,23"
48,AIRTON MATTES LTDA,RS,ATIVA,2011-12-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,10000.0,SIMPLES NACIONAL,ME,"31.01-2/00 Fabricação de móveis com predominância de madeira
",14.750.098/0001-09,de 81.000 até 360.000,de 10 até 50,192,"347.365,10"
49,CERAMICA URUSSANGA S/A,SC,ATIVA,1966-09-13T00:00:00.000,205-4 - Sociedade Anônima Fechada,,1094016630.11,LUCRO REAL,DEMAIS,"23.42-7/01 Fabricação de azulejos e pisos
",86.530.318/0001-08,de 100.000.000 até 300.000.000,de 100 até 500,69,"383.878,14"
50,SABENSUL EMBALAGENS DO BRASIL LTDA,SC,ATIVA,2011-11-14T00:00:00.000,206-2 - Sociedade Empresária Limitada,,430000.0,,DEMAIS,"46.86-9/02 Comércio atacadista de embalagens
",14.615.031/0001-61,de 1.500.000 até 4.800.000,de 10 até 50,?,-
51,CORETEX INDUSTRIA TEXTIL LTDA,SC,ATIVA,1977-06-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,300000.0,LUCRO PRESUMIDO,DEMAIS,"13.30-8/00 Fabricação de tecidos de malha
",83.445.288/0001-35,de 30.000.000 até 100.000.000,de 100 até 500,0,-
52,SANCRIS LINHAS E FIOS LTDA,SC,ATIVA,1987-12-08T00:00:00.000,206-2 - Sociedade Empresária Limitada,,13994149.0,LUCRO REAL,DEMAIS,"13.11-1/00 Preparação e fiação de fibras de algodão
",80.446.990/0001-25,de 100.000.000 até 300.000.000,de 100 até 500,0,-
53,CERAMICA ELIZABETH LTDA,PB,BAIXADA,1998-10-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,41127400.0,LUCRO REAL,DEMAIS,,02.811.281/0001-98,de 0 até 81.000,de 10 até 50,0,-
54,INDUSTRIAL IRMAOS HORT LIMITADA,SC,ATIVA,2000-02-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,20000000.0,LUCRO PRESUMIDO,DEMAIS,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
",03.634.530/0001-80,de 100.000.000 até 300.000.000,de 100 até 500,0,-
55,JAIANNA COMERCIO E FABRICACAO DE CALCADOS EIRELI,RS,ATIVA,2009-10-19T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),,95400.0,,ME,"15.31-9/02 Acabamento de calçados de couro sob contrato
",11.267.022/0001-39,de 81.000 até 360.000,de 10 até 50,253,"1.312.011,88"
56,ATC - ASSOCIATED TOBACCO COMPANY BRASIL EXPORTACAO E IMPORTACAO DE TABACO LTDA,RS,ATIVA,1994-12-12T00:00:00.000,206-2 - Sociedade Empresária Limitada,,30305915.0,LUCRO REAL,DEMAIS,"12.10-7/00 Processamento industrial do fumo
",00.350.387/0001-06,de 100.000.000 até 300.000.000,de 5 até 10,7,"20.643.925,03"
57,BRAZILIAN PET FOODS SA EM RECUPERACAO JUDICIAL,PR,ATIVA,2012-04-17T00:00:00.000,205-4 - Sociedade Anônima Fechada,RECUPERACAO JUDICIAL,35012329.0,,DEMAIS,"10.66-0/00 Fabricação de alimentos para animais
",13.056.177/0003-13,de 100.000.000 até 300.000.000,de 100 até 500,26,"4.258.787,83"
58,CAS INDUSTRIAL LTDA,SC,ATIVA,1999-01-06T00:00:00.000,206-2 - Sociedade Empresária Limitada,,100000.0,,DEMAIS,"16.29-3/01 Fabricação de artefatos diversos de madeira, exceto móveis
",02.936.443/0001-14,de 4.800.000 até 10.000.000,de 50 até 100,0,-
59,BILU INDUSTRIA DE ALIMENTOS LTDA,SC,ATIVA,1984-03-29T00:00:00.000,206-2 - Sociedade Empresária Limitada,,3300000.0,LUCRO REAL,DEMAIS,"10.99-6/99 Fabricação de outros produtos alimentícios não especificados anteriormente
",78.216.298/0001-69,de 10.000.000 até 30.000.000,de 100 até 500,0,-
60,N C A TEXTIL LTDA.,SC,ATIVA,1998-06-19T00:00:00.000,206-2 - Sociedade Empresária Limitada,,5688800.0,LUCRO REAL,DEMAIS,"13.30-8/00 Fabricação de tecidos de malha
",02.585.301/0001-50,de 30.000.000 até 100.000.000,de 100 até 500,0,-
61,HUVISPAN INDUSTRIA E COMERCIO DE FIOS LTDA,SC,ATIVA,2003-08-12T00:00:00.000,206-2 - Sociedade Empresária Limitada,,15000000.0,LUCRO REAL,DEMAIS,"13.11-1/00 Preparação e fiação de fibras de algodão
",05.810.004/0001-59,de 10.000.000 até 30.000.000,de 100 até 500,0,-
62,BRUTT - INDUSTRIA METALURGICA EIRELI,RS,ATIVA,1981-06-09T00:00:00.000,230-5 - Empresa Individual de Responsabilidade Limitada (de Natureza Empresári,,100000.0,,DEMAIS,"24.43-1/00 Metalurgia do cobre
",87.518.510/0001-33,de 4.800.000 até 10.000.000,de 100 até 500,2,"26.885,57"
63,VENTISOL INDUSTRIA E COMERCIO S.A.,SC,ATIVA,1997-03-17T00:00:00.000,205-4 - Sociedade Anônima Fechada,,40000000.0,ISENTO,DEMAIS,"27.59-7/99 Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios
",01.763.720/0001-71,de 300.000.000 até 500.000.000,de 100 até 500,0,-
64,CREMER S.A.,SC,ATIVA,1935-04-06T00:00:00.000,205-4 - Sociedade Anônima Fechada,,116580385.5,,DEMAIS,"32.50-7/05 Fabricação de materiais para medicina e odontologia
",82.641.325/0001-18,de 500.000.000 até 1.000.000.000,de 100 até 500,13,"53.270,76"
65,INPLAC INDUSTRIA DE PLASTICOS S.A - EM RECUPERACAO JUDICIAL,SC,ATIVA,1974-08-13T00:00:00.000,205-4 - Sociedade Anônima Fechada,RECUPERACAO JUDICIAL,13595917.0,LUCRO REAL,DEMAIS,"22.22-6/00 Fabricação de embalagens de material plástico
",82.956.889/0001-40,de 100.000.000 até 300.000.000,acima de 500,391,"139.116.992,62"
66,GRO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,SC,ATIVA,1991-12-04T00:00:00.000,206-2 - Sociedade Empresária Limitada,,630000.0,LUCRO PRESUMIDO,DEMAIS,"47.44-0/99 Comércio varejista de materiais de construção em geral
",85.215.051/0001-93,de 4.800.000 até 10.000.000,de 50 até 100,0,-
67,GARTHEN INDUSTRIA E COMERCIO DE MAQUINAS LTDA,SC,ATIVA,1991-03-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,8392040.0,LUCRO REAL,DEMAIS,"28.33-0/00 Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação
",82.981.721/0001-94,de 100.000.000 até 300.000.000,de 100 até 500,0,-
68,ABRILAR INDUSTRIA DE ESQUADRIAS LTDA,SC,ATIVA,2009-09-24T00:00:00.000,206-2 - Sociedade Empresária Limitada,,2000000.0,,DEMAIS,"16.22-6/02 Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais
",11.169.963/0001-30,de 4.800.000 até 10.000.000,de 50 até 100,0,-
69,COMPANHIA HEMMER INDUSTRIA E COMERCIO,SC,ATIVA,1966-08-29T00:00:00.000,205-4 - Sociedade Anônima Fechada,,18000000.0,LUCRO REAL,DEMAIS,"10.32-5/99 Fabricação de conservas de legumes e outros vegetais, exceto palmito
",82.641.986/0001-43,de 100.000.000 até 300.000.000,acima de 500,0,-
70,CARIBOR TECNOLOGIA DA BORRACHA LTDA,SC,ATIVA,1978-02-22T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1800000.0,,DEMAIS,"22.19-6/00 Fabricação de artefatos de borracha não especificados  anteriormente 
",83.538.215/0001-98,de 10.000.000 até 30.000.000,de 100 até 500,173,"17.439.911,20"
71,ARTE & CORTE TEXTIL LTDA,SC,ATIVA,1992-12-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,7000.0,,EPP,"14.12-6/01 Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
",95.801.692/0001-83,de 1.500.000 até 4.800.000,de 10 até 50,216,"511.052,68"
72,KREATEVA INDUSTRIAL LTDA,SC,ATIVA,2000-09-27T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1406000.0,LUCRO REAL,DEMAIS,"22.19-6/00 Fabricação de artefatos de borracha não especificados  anteriormente 
",04.069.595/0001-92,de 4.800.000 até 10.000.000,de 50 até 100,230,"9.008.691,63"
73,WINTER INDUSTRIAL LTDA,SC,ATIVA,1998-05-25T00:00:00.000,206-2 - Sociedade Empresária Limitada,,1010000.0,,DEMAIS,"25.43-8/00 Fabricação de ferramentas
",02.544.522/0001-80,de 4.800.000 até 10.000.000,de 50 até 100,0,-
74,KOHMATEX TINTURARIA LTDA,SC,ATIVA,2001-04-10T00:00:00.000,206-2 - Sociedade Empresária Limitada,,300000.0,,DEMAIS,"13.40-5/02 Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
",04.385.881/0001-67,de 10.000.000 até 30.000.000,de 50 até 100,0,-
75,FERTILIZANTES OMEGA LTDA,RS,ATIVA,1999-03-01T00:00:00.000,206-2 - Sociedade Empresária Limitada,,705000.0,LUCRO REAL,EPP,"20.13-4/02 Fabricação de adubos e fertilizantes, exceto organo-minerais
",03.041.024/0001-87,de 10.000.000 até 30.000.000,de 100 até 500,66,"380.945,27"
76,HAHNTEL S/A,SC,ATIVA,1996-11-01T00:00:00.000,205-4 - Sociedade Anônima Fechada,,2186149.0,,DEMAIS,"28.69-1/00 Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
",01.533.865/0001-86,de 30.000.000 até 100.000.000,de 100 até 500,0,-
77,MASTER PRINT IMPRESSOS S/A - INDUSCOM,PR,ATIVA,1983-12-06T00:00:00.000,205-4 - Sociedade Anônima Fechada,,2100000.0,LUCRO REAL,DEMAIS,"18.12-1/00 Impressão de material de segurança
",77.753.804/0001-96,de 4.800.000 até 10.000.000,de 100 até 500,0,-
78,PISOTECH CONSTRUTORA E REVESTIMENTOS CORPORATIVOS LTDA.,RS,ATIVA,2004-12-07T00:00:00.000,206-2 - Sociedade Empresária Limitada,,500000.0,,EPP,"43.30-4/05 Aplicação de revestimentos e de resinas em interiores e exteriores
",07.118.669/0001-21,de 1.500.000 até 4.800.000,de 10 até 50,0,-
79,PERFIL PACKING INDUSTRIA DE PLASTICOS LTDA,SC,ATIVA,2014-12-16T00:00:00.000,206-2 - Sociedade Empresária Limitada,,657300.0,SIMPLES NACIONAL,ME,"22.22-6/00 Fabricação de embalagens de material plástico
",21.581.339/0001-07,de 81.000 até 360.000,de 10 até 50,16,"363.476,09"
80,BONATO COUROS SA,PR,ATIVA,1969-08-07T00:00:00.000,205-4 - Sociedade Anônima Fechada,,16000000.0,LUCRO REAL,DEMAIS,"15.10-6/00 Curtimento e outras preparações de couro
",84.583.616/0001-22,de 1.500.000 até 4.800.000,de 50 até 100,19,"4.469.465,80"
