,BUSCA,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto
31,MASTER CRN IND E COMERC LTDA ME,95.384.715/0001-00,,,-,
32,PVC Brasil,12.211.543/0001-37,,,-,
33,Móveis Romera,75.587.915/0001-44,,,1435,"28.244.112,03"
34,Aramóveis,37.478.120/0001-09,,,-,
35,Paranatex,81.672.099/0001-70,,,0,-
36,Moveis Simbal,01.185.608/0001-09,,,-,
37,Moval,04.206.003/0001-37,,,-,
38,Moveis Estrela,97.200.687/0001-40,,,-,
39,Prodasa,89.537.880/0001-43,,,-,
40,Pado do Brasil,42.866.129/0001-27,,,-,
41,TUNDRA,86.937.539/0001-97,,,-,
42,Eletran,23.674.112/0001-23,,,-,
43,Frango Pioneiro,03.660.990/0001-82,,,-,
44,KNR Moveis,05.523.967/0001-71,,,0,-
45,VTN Embalagens,04.711.363/0001-96,,,0,-
46,arakraft ambalagens,04.697.588/0001-35,,,-,
47,Irmol Moveis,00.974.964/0001-30,,,-,
48,Poliman Moveis,05.368.194/0001-04,,,-,
49,Araplac Moveis,13.924.157/0001-55,,,-,
50,Perfan Moveis,13.924.157/0001-55,,,-,
51,Colibri Moveis,83.422.477/0001-92,,,-,
52,DMobile Moveis,13.924.157/0001-55,,,-,
53,Molas Cambé,76.051.192/0001-27,,,-,
54,Bad Horse,01.540.266/0001-90,,,-,
55,CBM Móveis,07.713.640/0001-98,,,-,
56,Ceval Moveis,28.596.002/0001-04,,,0,-
57,Caemun Moveis,13.924.157/0001-55,,,-,
58,Riatla Papeis,82.565.532/0001-30,,,-,
59,Linea Brazil,02.786.409/0001-00,,,-,
60,Frazotto Moveis,13.924.157/0001-55,,,-,
61,Apucarana Leather,09.271.307/0001-00,,,640,"27.629.587,53"
62,AJ BENEFICIAMENTO TÊXTIL LTDA,02.548.987/0001-09,,,9,"2.881.856,16"
63,TÊXTIL OESTE EMBALAGENS E TECIDOS EM POLIPROPILENO,09.097.765/0001-66,,,-,
64,LAC LÉLO,08.840.913/0001-28,,,,
65,ARCUS GRÁFICA,00.055.566/0001-10,,,-,
66,FIBRATEC,27.850.865/0001-01,,,-,
67,GRÁFICA ESTRELA LTDA,83.571.539/0001-28,,,,
68,USICAST INDÚSTRIA E COMÉRCIO LTDA,03.682.863/0001-84,,,0,-
69,Bread King,08.474.768/0001-09,,,0,-
70,DAICO,07.031.854/0001-84,,,-,
71,DANIELA TOMBINI,28.573.055/0001-00,,,-,
72,SOMAR EMBALAGENS,18.446.293/0001-09,,,-,
73,LAMIPACK,06.746.393/0001-63,,,-,
74,LABINDUSTRIAL VIDA E SAÚDE LTDA,16.497.208/0001-06,,,-,
75,FAMOSSUL,75.190.983/0001-75,,,0,-
76,SANTA CLARA IND DE PASTA E PAPEL LTDA,77.883.189/0001-32,,,4,"18.002,70"
77,CONDUSPAR CONDUTORES ELÉTRICAS LTDA,07.381.462/0001-45,,,-,
78,LABORATÓRIO CALBOS SA,76.719.525/0001-43,,,0,-
79,CIPAPEL,92.753.177/0001-87,,,-,
80,MACROPLASTIC,04.220.050/0001-35,,,-,
81,LAVOURA COMMODITIES,18.937.091/0001-51,,,-,
82,BRASPLAST,05.521.148/0001-95,,,-,
83,BRINK MOBIL EQUIPAMENTOS EDUCACIONAIS LTDA,79.788.766/0001-32,,,0,-
84,NITROGENIUS PRODUTOS QUÍMICOS EIRELI EPP,02.646.429/0001-86,,,,
85,OURO FINO,07.380.067/0001-48,,,3,"595,79"
86,95816963000174,95.816.963/0001-74,,,33,"39.698.117,61"
87,PLM PLÁSTICOS LTDA,02.385.570/0001-72,,,0,-
88,RAIZ QUADRADA INDUSTRIA E COMERCIO DE CONFECCOES LTDA,00.361.577/0001-29,,,-,
89,FRAME MADEIRAS ESPECIAIS LTDA,83.684.191/0001-85,,,0,-
90,HIDRO INDUSTRIAL LTDA,01.661.667/0001-06,,,-,
91,TRENIER GRAFICA E INDUSTRIA DE ARTEFATOS DE PAPEL SA GUARDANAPOS LEAL,85.021.657/0001-98,,,0,-
92,GRAFICA CAPITAL,76.157.676/0001-55,,,145,"473.536,94"
93,EMBALAPLAS INDUSTRIA DE EMBALAGENS PLASTICAS EPP LTDA,03.409.813/0001-28,,,-,
94,BRANDL DO BRASIL,02.375.902/0001-38,,,155,"10.948.409,06"
95,ZAIRE FERRAMENTARIA,06.154.514/0001-88,,,-,
96,07622613000100,07.622.613/0001-00,,,1,"80,00"
97,84683671000194,84.683.671/0001-94,,,11,"3.295.408,88"
98,10374537000175,10.374.537/0001-75,,,3,"22.185,88"
99,02091058000113,02.091.058/0001-13,,,9,"10.104,10"
100,83872549000101,83.872.549/0001-01,,,100,"382.697,20"
101,81588071000159,81.588.071/0001-59,,,0,-
102,02202565000187,02.202.565/0001-87,,,0,-
103,62848577000105,62.848.577/0001-05,,,0,-
104,72195324000133,72.195.324/0001-33,,,0,-
105,82956889000140,82.956.889/0001-40,,,391,"139.116.992,62"
106,83284158000168,83.284.158/0001-68,,,33,"81.596,47"
107,01322816000102,01.322.816/0001-02,,,0,-
108,03838986000161,03.838.986/0001-61,,,0,-
109,83461681000112,83.461.681/0001-12,,,-,
110,79022877000133,79.022.877/0001-33,,,0,-
111,02093733000143,02.093.733/0001-43,,,0,-
112,06317181000160,06.317.181/0001-60,,,0,-
113,83200105000111,83.200.105/0001-11,,,0,-
114,00478490000136,00.478.490/0001-36,,,0,-
115,78627148000148,78.627.148/0001-48,,,0,-
116,00637261000117,00.637.261/0001-17,,,,
117,06341728000163,06.341.728/0001-63,,,0,-
118,17794841000110,17.794.841/0001-10,,,0,-
119,09544299000110,09.544.299/0001-10,,,0,-
120,11169963000130,11.169.963/0001-30,,,0,-
121,00568490000127,00.568.490/0001-27,,,0,-
122,04340373000162,04.340.373/0001-62,,,0,-
123,21553236000125,21.553.236/0001-25,,,0,-
124,04531552000187,04.531.552/0001-87,,,0,-
125,Colégio Catarinenese,00.147.705/0001-36,,,-,
126,00906835000105,00.906.835/0001-05,,,10,"33.244,70"
127,10298238000107,10.298.238/0001-07,,,,
128,09434352000120,09.434.352/0001-20,,,0,-
129,83846600000100,83.846.600/0001-00,,,0,-
130,73307944000180,73.307.944/0001-80,,,0,-
131,02279324000136,02.279.324/0001-36,,,1,"147,75"
132,85342780000100,85.342.780/0001-00,,,0,-
133,00213945000191,00.213.945/0001-91,,,0,-
134,58783333000114,58.783.333/0001-14,,,0,-
135,79683496000103,79.683.496/0001-03,,,0,-
136,06036316000110,06.036.316/0001-10,,,82,"844.367,65"
